Length1,Weight,Length1_norm,Weight_norm
23.2,242.0,0.3048543689320388,0.14666666666666667
24.0,290.0,0.32038834951456313,0.17575757575757575
23.9,340.0,0.31844660194174756,0.20606060606060606
26.3,363.0,0.3650485436893204,0.22
26.5,430.0,0.36893203883495146,0.2606060606060606
26.8,450.0,0.37475728155339805,0.2727272727272727
26.8,500.0,0.37475728155339805,0.30303030303030304
27.6,390.0,0.39029126213592236,0.23636363636363636
27.6,450.0,0.39029126213592236,0.2727272727272727
28.5,500.0,0.4077669902912621,0.30303030303030304
28.4,475.0,0.40582524271844655,0.2878787878787879
28.7,500.0,0.4116504854368932,0.30303030303030304
29.1,500.0,0.41941747572815535,0.30303030303030304
29.5,340.0,0.42718446601941745,0.20606060606060606
29.4,600.0,0.42524271844660194,0.36363636363636365
29.4,600.0,0.42524271844660194,0.36363636363636365
30.4,700.0,0.4446601941747573,0.42424242424242425
30.4,700.0,0.4446601941747573,0.42424242424242425
30.9,610.0,0.45436893203883494,0.3696969696969697
31.0,650.0,0.4563106796116505,0.3939393939393939
31.3,575.0,0.4621359223300971,0.3484848484848485
31.4,685.0,0.4640776699029126,0.41515151515151516
31.5,620.0,0.46601941747572817,0.37575757575757573
31.8,680.0,0.47184466019417476,0.4121212121212121
31.9,700.0,0.47378640776699027,0.42424242424242425
31.8,725.0,0.47184466019417476,0.4393939393939394
32.0,720.0,0.47572815533980584,0.43636363636363634
32.7,714.0,0.48932038834951463,0.43272727272727274
32.8,850.0,0.49126213592233003,0.5151515151515151
33.5,1000.0,0.5048543689320388,0.6060606060606061
35.0,920.0,0.5339805825242718,0.5575757575757576
35.0,955.0,0.5339805825242718,0.5787878787878787
36.2,925.0,0.5572815533980583,0.5606060606060606
37.4,975.0,0.5805825242718446,0.5909090909090909
38.0,950.0,0.5922330097087378,0.5757575757575758
12.9,40.0,0.10485436893203884,0.024242424242424242
16.5,69.0,0.17475728155339806,0.04181818181818182
17.5,78.0,0.1941747572815534,0.04727272727272727
18.2,87.0,0.2077669902912621,0.05272727272727273
18.6,120.0,0.2155339805825243,0.07272727272727272
19.0,0.0,0.22330097087378642,0.0
19.1,110.0,0.22524271844660196,0.06666666666666667
19.4,120.0,0.23106796116504852,0.07272727272727272
20.4,150.0,0.25048543689320385,0.09090909090909091
20.5,145.0,0.2524271844660194,0.08787878787878788
20.5,160.0,0.2524271844660194,0.09696969696969697
21.0,140.0,0.2621359223300971,0.08484848484848485
21.1,160.0,0.26407766990291265,0.09696969696969697
22.0,169.0,0.2815533980582524,0.10242424242424242
22.0,161.0,0.2815533980582524,0.09757575757575758
22.1,200.0,0.283495145631068,0.12121212121212122
23.6,180.0,0.312621359223301,0.10909090909090909
24.0,290.0,0.32038834951456313,0.17575757575757575
25.0,272.0,0.33980582524271846,0.16484848484848486
29.5,390.0,0.42718446601941745,0.23636363636363636
23.6,270.0,0.312621359223301,0.16363636363636364
24.1,270.0,0.32233009708737864,0.16363636363636364
25.6,306.0,0.3514563106796117,0.18545454545454546
28.5,540.0,0.4077669902912621,0.32727272727272727
33.7,800.0,0.50873786407767,0.48484848484848486
37.3,1000.0,0.578640776699029,0.6060606060606061
13.5,55.0,0.11650485436893204,0.03333333333333333
14.3,60.0,0.13203883495145632,0.03636363636363636
16.3,90.0,0.17087378640776701,0.05454545454545454
17.5,120.0,0.1941747572815534,0.07272727272727272
18.4,150.0,0.2116504854368932,0.09090909090909091
19.0,140.0,0.22330097087378642,0.08484848484848485
19.0,170.0,0.22330097087378642,0.10303030303030303
19.8,145.0,0.2388349514563107,0.08787878787878788
21.2,200.0,0.26601941747572816,0.12121212121212122
23.0,273.0,0.30097087378640774,0.16545454545454547
24.0,300.0,0.32038834951456313,0.18181818181818182
7.5,5.9,0.0,0.003575757575757576
12.5,32.0,0.0970873786407767,0.019393939393939394
13.8,40.0,0.12233009708737866,0.024242424242424242
15.0,51.5,0.14563106796116504,0.031212121212121212
15.7,70.0,0.15922330097087378,0.04242424242424243
16.2,100.0,0.16893203883495145,0.06060606060606061
16.8,78.0,0.18058252427184468,0.04727272727272727
17.2,80.0,0.18834951456310678,0.048484848484848485
17.8,85.0,0.2,0.051515151515151514
18.2,85.0,0.2077669902912621,0.051515151515151514
19.0,110.0,0.22330097087378642,0.06666666666666667
19.0,115.0,0.22330097087378642,0.0696969696969697
19.0,125.0,0.22330097087378642,0.07575757575757576
19.3,130.0,0.22912621359223304,0.07878787878787878
20.0,120.0,0.24271844660194175,0.07272727272727272
20.0,120.0,0.24271844660194175,0.07272727272727272
20.0,130.0,0.24271844660194175,0.07878787878787878
20.0,135.0,0.24271844660194175,0.08181818181818182
20.0,110.0,0.24271844660194175,0.06666666666666667
20.5,130.0,0.2524271844660194,0.07878787878787878
20.5,150.0,0.2524271844660194,0.09090909090909091
20.7,145.0,0.2563106796116505,0.08787878787878788
21.0,150.0,0.2621359223300971,0.09090909090909091
